created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 17 23:59:52 +0000 2024;1747770746682683579;Canal de TV es avergonzante, mientras #EcuadorExigeSeguridad nos presentan porquerías..;0;0;0;0;es;603343694;1747770746682683579;pilcoj;https://twitter.com/pilcoj/status/1747770746682683579
Wed Jan 17 23:58:10 +0000 2024;1747770318934937658;La pregunta es que hacen con los primeros 12% puntos de  IVA, A LOS GAD no les llega.  Por suerte eso cuenta cómo deuda interna.  Estos 3 puntos extras, no es que van a poder usar para lo que quieren #EcuadorEnGuerra;0;0;0;0;es;522491481;1747770318934937658;bb18081978;https://twitter.com/bb18081978/status/1747770318934937658
Wed Jan 17 23:57:45 +0000 2024;1747770212923887676;#PlanFenix No sirve, acaban de asesinar a un Fiscal… Y así se atreven a presentar resultados #VerguenzaNacional #EcuadorExigeSeguridad;0;0;0;0;es;603343694;1747770212923887676;pilcoj;https://twitter.com/pilcoj/status/1747770212923887676
Wed Jan 17 23:57:43 +0000 2024;1747770206200414530;Pero se suponía que era show del Gobierno local de allá para crear caos según los zurdos aca en Chile, ahi tienen. #EcuadorBajoAtaqueTerrorista #IzquierdaMiserable;0;0;0;0;es;1378505063690297344;1747770206200414530;sp4ce_carlos;https://twitter.com/sp4ce_carlos/status/1747770206200414530
Wed Jan 17 23:57:14 +0000 2024;1747770084204982337;ASI DE UNIDOS DEBEMOS SER CONTRA ESTAS ESCORIAS CHCH !!! ⭕⭕⭕⭕⭕⭕ . . . . #EcuadorUnidoContraLosNarcos #EcuadorEnGuerra #Duran #Guayaquil https://t.co/5tENKiwKgr;1;19;58;572;es;250732180;1747770084204982337;Arieltoteless;https://twitter.com/Arieltoteless/status/1747770084204982337
Wed Jan 17 23:56:59 +0000 2024;1747770019528822908;Nobita debe ordenar que el ejército mate delincuentes, así el terrorista esta transitando debe ser objetivo militar, al soldado peruano no se lo capturó, sino que se le mató, a los Choneros, Lobos, Tiguerones no se los debe capturar, sino matar #EcuadorUnidoContraLosNarcos;0;0;0;0;es;1719563128373923840;1747770019528822908;osb05191978;https://twitter.com/osb05191978/status/1747770019528822908
Wed Jan 17 23:54:16 +0000 2024;1747769338533130551;@EmergenciasEc La escoria chavista en su máxima expresión @NicolasMaduro esparciste basura en toda latinoamérica. #EcuadorBajoAtaqueTerrorista #CorreaAsesino;0;0;0;0;es;100995803;1747652258060255671;RobinsonMorales;https://twitter.com/RobinsonMorales/status/1747769338533130551
Wed Jan 17 23:47:45 +0000 2024;1747767698245693787;LO COGIERON ROBANDO Y LLEGÓ EL PAPÁ Y LE SACO LA CHCH A PALOS ⭕⭕⭕⭕ . . . . #EcuadorEnGuerra #Guayaquil #EcuadorUnidoContraLosNarcos https://t.co/geMJ3KeTeE;11;31;106;979;es;250732180;1747767698245693787;Arieltoteless;https://twitter.com/Arieltoteless/status/1747767698245693787
Wed Jan 17 23:43:54 +0000 2024;1747766726756827525;El gobierno de #Ecuador 🇪🇨 confirmó la detención de 158 personas por presunto terrorismo, en un grupo de más de 1700 detenidas por asociaciones con el crimen organizado. #EcuadorEnGuerra #EcuadorPrimero #Noboa  https://t.co/Dgug4mpUDk;0;0;0;0;es;794303538415489033;1747766726756827525;ZoomInter;https://twitter.com/ZoomInter/status/1747766726756827525
Wed Jan 17 23:43:06 +0000 2024;1747766527636463707;#Atención l El presidente Daniel Noboa desiste de la pregunta 11 de la #ConsultaPopular referente al regreso de los casinos a #Ecuador. #DecanoDeLaPrensaManabita #EcuadorBajoAtaque https://t.co/kZXGwXCWeS;0;0;1;2;es;293192553;1747766527636463707;elmercuriomanta;https://twitter.com/elmercuriomanta/status/1747766527636463707
